"species","longitude","latitude"
"Mustela putorius",1521880,6630540
"Mustela putorius",1279920,6472320
"Mustela putorius",1337130,6177013
"Mustela putorius",1286080,6332075
"Mustela putorius",1482986,6240077
"Mustela putorius",1520358,6285799
"Mustela putorius",1367805,6449973
"Mustela putorius",1379750,6156800
"Mustela putorius",1298352,6496828
"Mustela putorius",1266826,6420226
"Mustela putorius",1284784,6339897
"Mustela putorius",1373031,6185467
"Mustela putorius",1368233,6194143
"Mustela putorius",1331505,6217245
"Mustela putorius",1352683,6200798
"Mustela putorius",1420530,6558290
"Mustela putorius",1326014,6163658
"Mustela putorius",1359300,6454036
"Mustela putorius",1302826,6466812
"Mustela putorius",1516858,6499906
"Mustela putorius",1493589,6302651
"Mustela putorius",1579512,6513997
"Mustela putorius",1354580,6175850
"Mustela putorius",1435896,6468516
"Mustela putorius",1321880,6321920
"Mustela putorius",1364442,6250237
"Mustela putorius",1264579,6439751
"Mustela putorius",1257809,6405541
"Mustela putorius",1460797,6341152
"Mustela putorius",1311196,6257898
"Mustela putorius",1294650,6483050
"Mustela putorius",1392018,6208125
"Mustela putorius",1448016,6551420
"Mustela putorius",1337226,6181383
"Mustela putorius",1438728,6308734
"Mustela putorius",1422026,6716894
"Mustela putorius",1412648,6315530
"Mustela putorius",1364471,6593119
"Mustela putorius",1364660,6421030
"Mustela putorius",1299320,6333700
"Mustela putorius",1314220,6417910
"Mustela putorius",1328660,6164280
"Mustela putorius",1293125,6379066
"Mustela putorius",1378535,6230017
"Mustela putorius",1294981,6376864
"Mustela putorius",1279601,6428327
"Mustela putorius",1328166,6598008
"Mustela putorius",1277150,6497600
"Mustela putorius",1268602,6379497
"Mustela putorius",1264891,6430758
"Mustela putorius",1372750,6232210
"Mustela putorius",1322259,6184119
"Mustela putorius",1428795,6621362
"Mustela putorius",1305340,6223570
"Mustela putorius",1508857,6254073
"Mustela putorius",1334084,6186037
"Mustela putorius",1291025,6365507
"Mustela putorius",1528960,6414780
"Mustela putorius",1380250,6233440
"Mustela putorius",1361230,6428380
"Mustela putorius",1400900,6566750
"Mustela putorius",1294760,6375677
"Mustela putorius",1462017,6537983
"Mustela putorius",1443216,6238156
"Mustela putorius",1276343,6403435
"Mustela putorius",1512445,6639439
"Mustela putorius",1517839,6572324
"Mustela putorius",1363360,6210960
"Mustela putorius",1478310,6430653
"Mustela putorius",1367630,6247442
"Mustela putorius",1378190,6222650
"Mustela putorius",1353502,6210791
"Mustela putorius",1289061,6484705
"Mustela putorius",1476489,6696906
"Mustela putorius",1340450,6179450
"Mustela putorius",1255900,6480700
"Mustela putorius",1508945,6600522
"Mustela putorius",1432703,6228129
